Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
JMPD,JMP Group LLC,25.3471,n/a,2017,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/jmpd
JBT,John Bean Technologies Corporation,118.26,$3.74B,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/jbt
BTO,John Hancock Financial Opportunities Fund,31.31,$584.57M,1994,n/a,n/a,https://www.nasdaq.com/symbol/bto
HEQ,John Hancock Hedged Equity & Income Fund,13.74,$167.82M,2011,n/a,n/a,https://www.nasdaq.com/symbol/heq
JHS,John Hancock Income Securities Trust,14.18,$165.15M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jhs
JHI,John Hancock Investors Trust,16.2,$141.05M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jhi
HPF,John Hancock Pfd Income Fund II,22.8,$485.64M,2002,n/a,n/a,https://www.nasdaq.com/symbol/hpf
HPI,John Hancock Preferred Income Fund,23.59,$614.25M,2002,n/a,n/a,https://www.nasdaq.com/symbol/hpi
HPS,John Hancock Preferred Income Fund III,19.2,$606.67M,2003,n/a,n/a,https://www.nasdaq.com/symbol/hps
PDT,John Hancock Premium Dividend Fund,16.8,$814.62M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pdt
HTD,John Hancock Tax Advantaged Dividend Income Fund,25.34,$896.65M,2004,n/a,n/a,https://www.nasdaq.com/symbol/htd
HTY,John Hancock Tax-Advantaged Global Shareholder Yield Fund,6.79,$74.99M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/hty
JW.A,"John Wiley & Sons, Inc.",n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jw.a
JW.B,"John Wiley & Sons, Inc.",n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jw.b
JNJ,Johnson & Johnson,142.09,$377.26B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/jnj
JCI,Johnson Controls International plc,40.09,$36B,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/jci
JLL,Jones Lang LaSalle Incorporated,139.55,$6.38B,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/jll
JMEI,Jumei International Holding Limited,2.51,$311.44M,2014,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/jmei
JMIA,Jumia Technologies AG,25.62,$1.96B,2019,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/jmia
JNPR,"Juniper Networks, Inc.",26.81,$9.23B,1999,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/jnpr
JP,Jupai Holdings Limited,2.38,$79.92M,2015,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/jp
JE,"Just Energy Group, Inc.",4.22,$630.94M,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/je
JE^A,"Just Energy Group, Inc.",22.6,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/je^a
LRN,K12 Inc,29.41,$1.18B,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/lrn
KAI,Kadant Inc,91.06,$1.02B,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/kai
KDMN,"Kadmon Holdings, Inc.",1.75,$226.59M,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/kdmn
KAMN,Kaman Corporation,60.95,$1.7B,n/a,Consumer Durables,Industrial Specialties,https://www.nasdaq.com/symbol/kamn
KSU,Kansas City Southern,119.5,$12.02B,n/a,Transportation,Railroads,https://www.nasdaq.com/symbol/ksu
KSU^,Kansas City Southern,26.5795,n/a,n/a,Transportation,Railroads,https://www.nasdaq.com/symbol/ksu^
KAR,"KAR Auction Services, Inc",62.53,$8.33B,2009,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/kar
KAR$,"KAR Auction Services, Inc",23.2,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kar$
KMF,"Kayne Anderson Midstream Energy Fund, Inc",11.55,$546.95M,2010,n/a,n/a,https://www.nasdaq.com/symbol/kmf
KYN,Kayne Anderson MLP/Midstream Investment Company,15.23,$1.92B,2004,n/a,n/a,https://www.nasdaq.com/symbol/kyn
KYN^F,Kayne Anderson MLP/Midstream Investment Company,25.1282,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kyn^f
KB,KB Financial Group Inc,38.6,$15.16B,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/kb
KBH,KB Home,24.62,$2.15B,1986,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/kbh
KBR,"KBR, Inc.",24.54,$3.47B,2006,Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/kbr
FRAC,"Keane Group, Inc.",7.43,$779.91M,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/frac
K,Kellogg Company,55.59,$18.93B,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/k
KEM,Kemet Corporation,18.08,$1.05B,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/kem
KMPA,Kemper Corporation,25.1759,n/a,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/kmpa
KMPR,Kemper Corporation,87.81,$5.84B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/kmpr
KMT,Kennametal Inc.,34.37,$2.83B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/kmt
KW,Kennedy-Wilson Holdings Inc.,21.13,$3.01B,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/kw
KEN,Kenon Holdings Ltd.,20.78,$1.12B,2015,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ken
KDP,Keurig Dr Pepper Inc.,30.65,$43.12B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/kdp
KEG,"Key Energy Services, Inc.",1.89,$38.55M,2016,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/keg
KEY,KeyCorp,17.05,$17.19B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/key
KEY^I,KeyCorp,28.76,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/key^i
KEY^J,KeyCorp,25.76,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/key^j
KEY^K,KeyCorp,25.77,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/key^k
KEYS,Keysight Technologies Inc.,86.42,$16.26B,2014,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/keys
KRC,Kilroy Realty Corporation,75.96,$7.67B,1997,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/krc
KRP,Kimbell Royalty Partners,15.8,$741.17M,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/krp
KMB,Kimberly-Clark Corporation,135.59,$46.62B,n/a,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/kmb
KIM,Kimco Realty Corporation,18.9,$7.98B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/kim
KIM^I,Kimco Realty Corporation,25.6371,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kim^i
KIM^J,Kimco Realty Corporation,25.1,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kim^j
KIM^K,Kimco Realty Corporation,25.5355,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kim^k
KIM^L,Kimco Realty Corporation,24.7,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kim^l
KIM^M,Kimco Realty Corporation,24.55,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kim^m
KMI,"Kinder Morgan, Inc.",21.38,$48.4B,2011,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/kmi
KFS,"Kingsway Financial Services, Inc.",2.6,$56.65M,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/kfs
KGC,Kinross Gold Corporation,3.79,$4.75B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/kgc
KEX,Kirby Corporation,80.18,$4.8B,n/a,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/kex
KL,Kirkland Lake Gold Ltd.,41.48,$8.71B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/kl
KRG,Kite Realty Group Trust,15.56,$1.31B,2004,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/krg
KKR,KKR & Co. Inc.,24.59,$13.38B,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/kkr
KKR^A,KKR & Co. Inc.,27.2,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kkr^a
KKR^B,KKR & Co. Inc.,26.85,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kkr^b
KIO,KKR Income Opportunities Fund,15.85,$322.39M,2013,n/a,n/a,https://www.nasdaq.com/symbol/kio
